item_id,title,category,tags,price
item_0000,Camera 0,electronics,trending|sale,130.71794445914537
item_0001,Sofa 1,home,popular|durable|sale|trending|premium,398.36965869630666
item_0002,Basketball 2,sports,popular|sale,369.62886281930923
item_0003,Manual 3,books,stylish|popular|eco-friendly|sale|durable,268.6314037000133
item_0004,Chocolate 4,food,popular|trending|durable,450.41743558343654
item_0005,Action Figure 5,toys,durable|trending|eco-friendly,71.08901303241886
item_0006,Cookbook 6,books,new|premium|popular,289.09564931371546
item_0007,Biography 7,books,sale|new|trending,90.01292417880394
item_0008,Puzzle 8,toys,new|trending,87.83047073718767
item_0009,Action Figure 9,toys,popular|new|eco-friendly|durable|premium,170.3561131128355
item_0010,Smart Phone 10,electronics,eco-friendly|new,232.9507930787065
item_0011,Doll 11,toys,trending|stylish|eco-friendly|sale,252.49396414136916
item_0012,Novel 12,books,popular|durable|sale|trending,132.31396554335217
item_0013,Foundation 13,beauty,durable|stylish,320.70314823091786
item_0014,Dumbbells 14,sports,sale|durable|trending,17.98989187538736
item_0015,Textbook 15,books,popular|durable|sale|stylish|premium,138.63850974555277
item_0016,Tennis Racket 16,sports,durable|trending|eco-friendly,40.04728158918323
item_0017,Shoes 17,clothing,new|premium|sale|durable,357.60735716247234
item_0018,Perfume 18,beauty,sale|popular|stylish|premium|new,429.85940147406046
item_0019,Novel 19,books,trending|durable|stylish|new|eco-friendly,289.05100087480474
item_0020,Laptop 20,electronics,new|trending,436.59441286209875
item_0021,Biography 21,books,premium|durable,68.26247866221676
item_0022,Cookbook 22,books,new|trending|eco-friendly|durable|premium,39.28563774425965
item_0023,Manual 23,books,popular|premium|new,400.332158289875
item_0024,Yoga Mat 24,sports,stylish|eco-friendly|durable,84.86576408529889
item_0025,Building Blocks 25,toys,stylish|sale,151.6343691434318
item_0026,Bed 26,home,eco-friendly|sale|durable|stylish,101.48020575609192
item_0027,Building Blocks 27,toys,eco-friendly|new|popular|trending,96.25607252920037
item_0028,Lamp 28,home,sale|premium,178.08164866288124
item_0029,Bed 29,home,premium|new|trending|durable|popular,104.63019172923089
item_0030,T-Shirt 30,clothing,trending|new,159.15323275047837
item_0031,Building Blocks 31,toys,sale|trending,384.03642165630566
item_0032,Dumbbells 32,sports,popular|eco-friendly|new|premium,19.932400779795774
item_0033,Shampoo 33,beauty,sale|eco-friendly,123.18503786797659
item_0034,Smart Phone 34,electronics,stylish|eco-friendly|new|sale,181.70706018988525
item_0035,Jeans 35,clothing,trending|popular|new|stylish,128.7749593634256
item_0036,Dumbbells 36,sports,trending|sale|premium|durable|popular,459.59512998235164
item_0037,Jeans 37,clothing,stylish|sale|popular|premium,293.7726792102
item_0038,Foundation 38,beauty,new|premium,487.2227006547254
item_0039,Shoes 39,clothing,durable|new|trending|sale,409.55023424801306
item_0040,Smart Phone 40,electronics,stylish|popular|eco-friendly|new,359.9890967827059
item_0041,Perfume 41,beauty,stylish|popular,233.58141329048033
item_0042,Tennis Racket 42,sports,sale|durable|premium,110.95077984398785
item_0043,Chair 43,home,sale|premium,133.78353569486958
item_0044,Bed 44,home,new|eco-friendly,236.9957361533063
item_0045,Lamp 45,home,premium|popular|durable,99.50633740563535
item_0046,Jacket 46,clothing,sale|popular|trending,340.6328085210918
item_0047,Action Figure 47,toys,premium|stylish|new,104.33560405942484
item_0048,Basketball 48,sports,eco-friendly|trending|durable|sale|popular,271.4187546330785
item_0049,Perfume 49,beauty,premium|stylish|new|sale,471.2320756931957
item_0050,Board Game 50,toys,popular|new,448.00608723401245
item_0051,Jacket 51,clothing,stylish|sale|durable|popular|trending,203.47208988486034
item_0052,Foundation 52,beauty,sale|stylish,308.8077124095638
item_0053,Building Blocks 53,toys,eco-friendly|premium|new,459.4748423412938
item_0054,Chocolate 54,food,trending|sale|eco-friendly|premium,162.03613953007354
item_0055,Novel 55,books,new|popular,24.365628301605128
